Source,Target,Weight,Type
E_1,E_100,3,undirected
E_1,E_187,1,undirected
E_1,S_10,2,undirected
E_10,E_100,2,undirected
E_10,E_40,1,undirected
E_10,E_8,6,undirected
E_100,E_1,3,undirected
E_100,E_10,2,undirected
E_100,E_102,3,undirected
E_100,E_106,3,undirected
E_100,E_109,3,undirected
E_100,E_110,3,undirected
E_100,E_112,3,undirected
E_100,E_113,3,undirected
E_100,E_114,3,undirected
E_100,E_115,3,undirected
E_100,E_118,3,undirected
E_100,E_119,3,undirected
E_100,E_121,3,undirected
E_100,E_125,3,undirected
E_100,E_126,3,undirected
E_100,E_127,3,undirected
E_100,E_128,3,undirected
E_100,E_130,2,undirected
E_100,E_131,2,undirected
E_100,E_132,3,undirected
E_100,E_134,3,undirected
E_100,E_136,3,undirected
E_100,E_137,2,undirected
E_100,E_138,2,undirected
E_100,E_142,3,undirected
E_100,E_144,3,undirected
E_100,E_148,3,undirected
E_100,E_149,3,undirected
E_100,E_150,3,undirected
E_100,E_151,3,undirected
E_100,E_155,3,undirected
E_100,E_156,3,undirected
E_100,E_157,3,undirected
E_100,E_158,3,undirected
E_100,E_160,3,undirected
E_100,E_161,3,undirected
E_100,E_164,3,undirected
E_100,E_167,3,undirected
E_100,E_170,3,undirected
E_100,E_171,3,undirected
E_100,E_173,3,undirected
E_100,E_174,3,undirected
E_100,E_175,3,undirected
E_100,E_176,2,undirected
E_100,E_177,2,undirected
E_100,E_178,2,undirected
E_100,E_179,3,undirected
E_100,E_181,3,undirected
E_100,E_183,3,undirected
E_100,E_184,3,undirected
E_100,E_185,3,undirected
E_100,E_187,3,undirected
E_100,E_188,3,undirected
E_100,E_189,3,undirected
E_100,E_190,3,undirected
E_100,E_191,3,undirected
E_100,E_193,3,undirected
E_100,E_195,3,undirected
E_100,E_197,3,undirected
E_100,E_200,3,undirected
E_100,E_201,3,undirected
E_100,E_202,3,undirected
E_100,E_203,3,undirected
E_100,E_205,3,undirected
E_100,E_207,3,undirected
E_100,E_209,2,undirected
E_100,E_21,3,undirected
E_100,E_210,2,undirected
E_100,E_211,3,undirected
E_100,E_212,3,undirected
E_100,E_213,2,undirected
E_100,E_214,3,undirected
E_100,E_215,3,undirected
E_100,E_216,3,undirected
E_100,E_217,3,undirected
E_100,E_219,3,undirected
E_100,E_220,3,undirected
E_100,E_221,3,undirected
E_100,E_222,3,undirected
E_100,E_223,2,undirected
E_100,E_225,2,undirected
E_100,E_227,2,undirected
E_100,E_228,3,undirected
E_100,E_230,3,undirected
E_100,E_232,3,undirected
E_100,E_233,3,undirected
E_100,E_234,3,undirected
E_100,E_235,3,undirected
E_100,E_236,3,undirected
E_100,E_237,3,undirected
E_100,E_238,3,undirected
E_100,E_239,3,undirected
E_100,E_24,3,undirected
E_100,E_241,3,undirected
E_100,E_242,3,undirected
E_100,E_243,3,undirected
E_100,E_245,3,undirected
E_100,E_246,3,undirected
E_100,E_247,3,undirected
E_100,E_248,3,undirected
E_100,E_249,2,undirected
E_100,E_25,3,undirected
E_100,E_250,3,undirected
E_100,E_252,3,undirected
E_100,E_259,3,undirected
E_100,E_26,3,undirected
E_100,E_260,3,undirected
E_100,E_263,3,undirected
E_100,E_265,3,undirected
E_100,E_269,3,undirected
E_100,E_270,3,undirected
E_100,E_272,3,undirected
E_100,E_273,3,undirected
E_100,E_275,3,undirected
E_100,E_276,3,undirected
E_100,E_278,3,undirected
E_100,E_279,3,undirected
E_100,E_280,3,undirected
E_100,E_283,3,undirected
E_100,E_287,3,undirected
E_100,E_288,3,undirected
E_100,E_289,3,undirected
E_100,E_29,3,undirected
E_100,E_292,3,undirected
E_100,E_293,3,undirected
E_100,E_295,3,undirected
E_100,E_298,3,undirected
E_100,E_299,3,undirected
E_100,E_30,3,undirected
E_100,E_300,3,undirected
E_100,E_302,3,undirected
E_100,E_303,3,undirected
E_100,E_304,3,undirected
E_100,E_306,3,undirected
E_100,E_307,3,undirected
E_100,E_308,3,undirected
E_100,E_31,3,undirected
E_100,E_311,3,undirected
E_100,E_312,3,undirected
E_100,E_313,3,undirected
E_100,E_314,1,undirected
E_100,E_317,2,undirected
E_100,E_318,3,undirected
E_100,E_319,3,undirected
E_100,E_32,2,undirected
E_100,E_321,3,undirected
E_100,E_324,1,undirected
E_100,E_325,1,undirected
E_100,E_326,1,undirected
E_100,E_327,3,undirected
E_100,E_328,3,undirected
E_100,E_33,2,undirected
E_100,E_330,3,undirected
E_100,E_331,3,undirected
E_100,E_335,3,undirected
E_100,E_336,3,undirected
E_100,E_34,3,undirected
E_100,E_340,3,undirected
E_100,E_342,3,undirected
E_100,E_343,3,undirected
E_100,E_344,3,undirected
E_100,E_345,3,undirected
E_100,E_349,3,undirected
E_100,E_35,3,undirected
E_100,E_350,2,undirected
E_100,E_351,2,undirected
E_100,E_352,3,undirected
E_100,E_353,3,undirected
E_100,E_354,3,undirected
E_100,E_358,3,undirected
E_100,E_359,3,undirected
E_100,E_361,3,undirected
E_100,E_362,3,undirected
E_100,E_364,3,undirected
E_100,E_365,2,undirected
E_100,E_366,2,undirected
E_100,E_368,3,undirected
E_100,E_37,3,undirected
E_100,E_371,3,undirected
E_100,E_374,3,undirected
E_100,E_375,3,undirected
E_100,E_377,2,undirected
E_100,E_378,3,undirected
E_100,E_38,3,undirected
E_100,E_39,3,undirected
E_100,E_4,3,undirected
E_100,E_40,3,undirected
E_100,E_41,3,undirected
E_100,E_42,3,undirected
E_100,E_43,3,undirected
E_100,E_44,3,undirected
E_100,E_46,2,undirected
E_100,E_47,2,undirected
E_100,E_48,3,undirected
E_100,E_49,3,undirected
E_100,E_50,3,undirected
E_100,E_52,3,undirected
E_100,E_54,3,undirected
E_100,E_55,3,undirected
E_100,E_57,3,undirected
E_100,E_58,3,undirected
E_100,E_6,3,undirected
E_100,E_60,2,undirected
E_100,E_61,2,undirected
E_100,E_62,3,undirected
E_100,E_64,3,undirected
E_100,E_65,3,undirected
E_100,E_66,3,undirected
E_100,E_67,3,undirected
E_100,E_68,3,undirected
E_100,E_7,3,undirected
E_100,E_70,3,undirected
E_100,E_73,3,undirected
E_100,E_74,2,undirected
E_100,E_76,2,undirected
E_100,E_77,3,undirected
E_100,E_79,3,undirected
E_100,E_8,2,undirected
E_100,E_81,3,undirected
E_100,E_88,2,undirected
E_100,E_90,3,undirected
E_100,E_93,3,undirected
E_100,E_95,3,undirected
E_100,E_96,3,undirected
E_100,E_97,3,undirected
E_100,E_98,3,undirected
E_100,K_101,3,undirected
E_100,K_103,3,undirected
E_100,K_105,3,undirected
E_100,K_107,3,undirected
E_100,K_111,3,undirected
E_100,K_114,2,undirected
E_100,K_118,3,undirected
E_100,K_119,3,undirected
E_100,K_128,3,undirected
E_100,K_13,3,undirected
E_100,K_14,3,undirected
E_100,K_143,2,undirected
E_100,K_146,3,undirected
E_100,K_147,3,undirected
E_100,K_150,2,undirected
E_100,K_154,3,undirected
E_100,K_155,3,undirected
E_100,K_159,3,undirected
E_100,K_163,2,undirected
E_100,K_164,3,undirected
E_100,K_166,3,undirected
E_100,K_167,3,undirected
E_100,K_170,3,undirected
E_100,K_173,3,undirected
E_100,K_18,3,undirected
E_100,K_182,3,undirected
E_100,K_183,3,undirected
E_100,K_184,2,undirected
E_100,K_185,2,undirected
E_100,K_189,3,undirected
E_100,K_19,2,undirected
E_100,K_191,2,undirected
E_100,K_194,3,undirected
E_100,K_20,3,undirected
E_100,K_200,3,undirected
E_100,K_203,3,undirected
E_100,K_205,3,undirected
E_100,K_208,3,undirected
E_100,K_209,3,undirected
E_100,K_214,3,undirected
E_100,K_216,3,undirected
E_100,K_22,3,undirected
E_100,K_226,3,undirected
E_100,K_227,3,undirected
E_100,K_228,3,undirected
E_100,K_229,3,undirected
E_100,K_230,3,undirected
E_100,K_231,3,undirected
E_100,K_232,3,undirected
E_100,K_233,3,undirected
E_100,K_234,3,undirected
E_100,K_236,3,undirected
E_100,K_237,3,undirected
E_100,K_24,3,undirected
E_100,K_240,2,undirected
E_100,K_242,3,undirected
E_100,K_245,3,undirected
E_100,K_246,3,undirected
E_100,K_247,2,undirected
E_100,K_250,3,undirected
E_100,K_255,3,undirected
E_100,K_257,1,undirected
E_100,K_26,3,undirected
E_100,K_260,3,undirected
E_100,K_261,3,undirected
E_100,K_267,3,undirected
E_100,K_27,3,undirected
E_100,K_272,2,undirected
E_100,K_273,3,undirected
E_100,K_282,3,undirected
E_100,K_284,3,undirected
E_100,K_32,3,undirected
E_100,K_37,2,undirected
E_100,K_41,3,undirected
E_100,K_42,3,undirected
E_100,K_5,3,undirected
E_100,K_52,3,undirected
E_100,K_55,3,undirected
E_100,K_56,3,undirected
E_100,K_57,3,undirected
E_100,K_6,3,undirected
E_100,K_61,3,undirected
E_100,K_64,3,undirected
E_100,K_66,3,undirected
E_100,K_68,3,undirected
E_100,K_70,3,undirected
E_100,K_71,3,undirected
E_100,K_73,3,undirected
E_100,K_77,2,undirected
E_100,K_8,3,undirected
E_100,K_82,3,undirected
