Source,Target,Weight,Type
E_1996,E_1998,5,undirected
E_1996,E_1999,6,undirected
E_1996,E_2002,2,undirected
E_1996,E_2004,33,undirected
E_1996,E_2011,47,undirected
E_1996,E_2013,16,undirected
E_1996,S_1996,1,undirected
E_1996,S_1999,10,undirected
E_1996,S_2000,2,undirected
E_1996,S_2003,17,undirected
E_1996,S_2004,96,undirected
E_1996,S_2006,4,undirected
E_1997,E_1999,117,undirected
E_1997,E_2000,28,undirected
E_1997,E_2004,1,undirected
E_1997,E_2010,6,undirected
E_1997,E_2013,78,undirected
E_1997,K_2009,3,undirected
E_1997,K_2011,1,undirected
E_1998,E_1996,5,undirected
E_1998,E_1999,117,undirected
E_1998,E_2000,11,undirected
E_1998,E_2009,19,undirected
E_1998,E_2011,19,undirected
E_1998,E_2013,63,undirected
E_1999,E_1996,6,undirected
E_1999,E_1997,117,undirected
E_1999,E_1998,117,undirected
E_1999,E_2000,127,undirected
E_1999,E_2004,13,undirected
E_1999,E_2009,2,undirected
E_1999,E_2010,35,undirected
E_1999,E_2013,117,undirected
E_1999,S_1996,1,undirected
E_2000,E_1997,28,undirected
E_2000,E_1998,11,undirected
E_2000,E_1999,127,undirected
E_2000,E_2002,50,undirected
E_2000,E_2004,2,undirected
E_2000,E_2009,2,undirected
E_2000,E_2010,3,undirected
E_2000,E_2013,117,undirected
E_2002,E_1996,2,undirected
E_2002,E_2000,50,undirected
E_2002,E_2004,63,undirected
E_2002,E_2009,2,undirected
E_2002,E_2010,112,undirected
E_2002,E_2011,42,undirected
E_2002,E_2013,112,undirected
E_2004,E_1996,33,undirected
E_2004,E_1997,1,undirected
E_2004,E_1999,13,undirected
E_2004,E_2000,2,undirected
E_2004,E_2002,63,undirected
E_2004,E_2009,125,undirected
E_2004,E_2010,51,undirected
E_2004,E_2011,5,undirected
E_2004,E_2013,198,undirected
E_2009,E_1998,19,undirected
E_2009,E_1999,2,undirected
E_2009,E_2000,2,undirected
E_2009,E_2002,2,undirected
E_2009,E_2004,125,undirected
E_2009,E_2010,127,undirected
E_2009,E_2011,11,undirected
E_2009,E_2013,161,undirected
E_2009,E_2014,68,undirected
E_2009,S_2004,1,undirected
E_2010,E_1997,6,undirected
E_2010,E_1999,35,undirected
E_2010,E_2000,3,undirected
E_2010,E_2002,112,undirected
E_2010,E_2004,51,undirected
E_2010,E_2009,127,undirected
E_2010,E_2011,111,undirected
E_2010,E_2013,219,undirected
E_2010,E_2014,42,undirected
E_2010,J_2003,17,undirected
E_2011,E_1996,47,undirected
E_2011,E_1998,19,undirected
E_2011,E_2002,42,undirected
E_2011,E_2004,5,undirected
E_2011,E_2009,11,undirected
E_2011,E_2010,111,undirected
E_2011,E_2013,58,undirected
E_2011,E_2014,7,undirected
E_2011,J_2009,10,undirected
E_2011,S_2004,7,undirected
E_2013,E_1996,16,undirected
E_2013,E_1997,78,undirected
E_2013,E_1998,63,undirected
E_2013,E_1999,117,undirected
E_2013,E_2000,117,undirected
E_2013,E_2002,112,undirected
E_2013,E_2004,198,undirected
E_2013,E_2009,161,undirected
E_2013,E_2010,219,undirected
E_2013,E_2011,58,undirected
E_2013,E_2014,117,undirected
E_2013,J_2003,3,undirected
E_2013,J_2006,38,undirected
E_2013,J_2007,47,undirected
E_2013,J_2009,1,undirected
E_2013,K_2009,21,undirected
E_2013,K_2017,1,undirected
E_2013,K_2022,3,undirected
E_2013,S_1996,1,undirected
E_2014,E_2009,68,undirected
E_2014,E_2010,42,undirected
E_2014,E_2011,7,undirected
E_2014,E_2013,117,undirected
J_1996,J_1997,189,undirected
J_1996,J_1998,70,undirected
J_1996,J_1999,75,undirected
J_1996,J_2002,11,undirected
J_1996,J_2003,1,undirected
J_1996,J_2007,55,undirected
J_1996,K_2010,1,undirected
J_1997,J_1996,189,undirected
J_1997,J_1998,232,undirected
J_1997,J_1999,77,undirected
J_1997,J_2001,27,undirected
J_1997,J_2002,1,undirected
J_1997,J_2003,2,undirected
J_1997,S_1998,1,undirected
J_1998,J_1996,70,undirected
J_1998,J_1997,232,undirected
J_1998,J_1999,87,undirected
J_1998,J_2001,11,undirected
J_1998,J_2002,6,undirected
J_1998,J_2003,6,undirected
J_1998,J_2007,1,undirected
J_1999,J_1996,75,undirected
J_1999,J_1997,77,undirected
J_1999,J_1998,87,undirected
J_1999,J_2001,65,undirected
J_1999,J_2002,161,undirected
J_1999,J_2003,133,undirected
J_1999,S_2006,1,undirected
J_2001,J_1997,27,undirected
J_2001,J_1998,11,undirected
J_2001,J_1999,65,undirected
J_2001,J_2002,41,undirected
J_2001,J_2003,90,undirected
J_2002,J_1996,11,undirected
J_2002,J_1997,1,undirected
J_2002,J_1998,6,undirected
J_2002,J_1999,161,undirected
J_2002,J_2001,41,undirected
J_2002,J_2003,234,undirected
J_2002,J_2006,51,undirected
J_2002,J_2007,16,undirected
J_2002,J_2009,60,undirected
J_2002,K_2009,51,undirected
J_2003,E_2010,17,undirected
J_2003,E_2013,3,undirected
J_2003,J_1996,1,undirected
J_2003,J_1997,2,undirected
J_2003,J_1998,6,undirected
J_2003,J_1999,133,undirected
J_2003,J_2001,90,undirected
J_2003,J_2002,234,undirected
J_2003,J_2006,117,undirected
J_2003,J_2007,84,undirected
J_2003,J_2009,108,undirected
J_2003,K_2009,46,undirected
J_2003,K_2010,1,undirected
J_2003,K_2017,1,undirected
J_2006,E_2013,38,undirected
J_2006,J_2002,51,undirected
J_2006,J_2003,117,undirected
J_2006,J_2007,1,undirected
J_2006,J_2009,11,undirected
J_2006,K_2009,25,undirected
J_2006,S_2004,3,undirected
J_2007,E_2013,47,undirected
J_2007,J_1996,55,undirected
J_2007,J_1998,1,undirected
J_2007,J_2002,16,undirected
J_2007,J_2003,84,undirected
J_2007,J_2006,1,undirected
J_2007,J_2009,50,undirected
J_2007,K_2009,6,undirected
J_2007,S_2004,13,undirected
J_2009,E_2011,10,undirected
J_2009,E_2013,1,undirected
J_2009,J_2002,60,undirected
J_2009,J_2003,108,undirected
J_2009,J_2006,11,undirected
J_2009,J_2007,50,undirected
J_2009,K_2009,1,undirected
J_2009,K_2010,3,undirected
J_2009,S_2004,1,undirected
K_2009,E_1997,3,undirected
K_2009,E_2013,21,undirected
K_2009,J_2002,51,undirected
K_2009,J_2003,46,undirected
K_2009,J_2006,25,undirected
K_2009,J_2007,6,undirected
K_2009,J_2009,1,undirected
K_2009,K_2010,234,undirected
K_2009,K_2011,135,undirected
K_2009,K_2012,194,undirected
K_2009,K_2015,107,undirected
K_2009,K_2017,68,undirected
K_2009,K_2022,83,undirected
K_2010,J_1996,1,undirected
K_2010,J_2003,1,undirected
K_2010,J_2009,3,undirected
K_2010,K_2009,234,undirected
K_2010,K_2011,125,undirected
K_2010,K_2012,104,undirected
K_2010,K_2015,39,undirected
K_2011,E_1997,1,undirected
K_2011,K_2009,135,undirected
K_2011,K_2010,125,undirected
K_2011,K_2012,123,undirected
K_2012,K_2009,194,undirected
K_2012,K_2010,104,undirected
K_2012,K_2011,123,undirected
K_2012,K_2015,88,undirected
K_2012,K_2017,51,undirected
K_2012,K_2022,3,undirected
K_2015,K_2009,107,undirected
K_2015,K_2010,39,undirected
K_2015,K_2012,88,undirected
K_2015,K_2017,32,undirected
K_2015,K_2022,49,undirected
K_2017,E_2013,1,undirected
K_2017,J_2003,1,undirected
K_2017,K_2009,68,undirected
K_2017,K_2012,51,undirected
K_2017,K_2015,32,undirected
K_2017,K_2022,177,undirected
K_2022,E_2013,3,undirected
K_2022,K_2009,83,undirected
K_2022,K_2012,3,undirected
K_2022,K_2015,49,undirected
K_2022,K_2017,177,undirected
S_1993,S_1996,188,undirected
S_1993,S_1998,99,undirected
S_1993,S_1999,52,undirected
S_1993,S_2000,16,undirected
S_1993,S_2003,52,undirected
S_1993,S_2004,1,undirected
S_1993,S_2006,6,undirected
S_1996,E_1996,1,undirected
S_1996,E_1999,1,undirected
S_1996,E_2013,1,undirected
S_1996,S_1993,188,undirected
S_1996,S_1998,163,undirected
S_1996,S_1999,13,undirected
S_1996,S_2000,5,undirected
S_1996,S_2002,5,undirected
S_1996,S_2003,55,undirected
S_1996,S_2004,29,undirected
S_1996,S_2006,84,undirected
S_1998,J_1997,1,undirected
S_1998,S_1993,99,undirected
S_1998,S_1996,163,undirected
S_1998,S_1999,234,undirected
S_1998,S_2000,142,undirected
S_1998,S_2002,42,undirected
S_1998,S_2003,49,undirected
S_1998,S_2004,42,undirected
S_1998,S_2006,28,undirected
S_1999,E_1996,10,undirected
S_1999,S_1993,52,undirected
S_1999,S_1996,13,undirected
S_1999,S_1998,234,undirected
S_1999,S_2000,169,undirected
S_1999,S_2002,1,undirected
S_1999,S_2004,7,undirected
S_2000,E_1996,2,undirected
S_2000,S_1993,16,undirected
S_2000,S_1996,5,undirected
S_2000,S_1998,142,undirected
S_2000,S_1999,169,undirected
S_2000,S_2002,92,undirected
S_2000,S_2004,51,undirected
S_2000,S_2006,65,undirected
S_2002,S_1996,5,undirected
S_2002,S_1998,42,undirected
S_2002,S_1999,1,undirected
S_2002,S_2000,92,undirected
S_2002,S_2003,71,undirected
S_2002,S_2004,45,undirected
S_2003,E_1996,17,undirected
S_2003,S_1993,52,undirected
S_2003,S_1996,55,undirected
S_2003,S_1998,49,undirected
S_2003,S_2002,71,undirected
S_2003,S_2004,234,undirected
S_2004,E_1996,96,undirected
S_2004,E_2009,1,undirected
S_2004,E_2011,7,undirected
S_2004,J_2006,3,undirected
S_2004,J_2007,13,undirected
S_2004,J_2009,1,undirected
S_2004,S_1993,1,undirected
S_2004,S_1996,29,undirected
S_2004,S_1998,42,undirected
S_2004,S_1999,7,undirected
S_2004,S_2000,51,undirected
S_2004,S_2002,45,undirected
S_2004,S_2003,234,undirected
S_2004,S_2006,61,undirected
S_2006,E_1996,4,undirected
S_2006,J_1999,1,undirected
S_2006,S_1993,6,undirected
S_2006,S_1996,84,undirected
S_2006,S_1998,28,undirected
S_2006,S_2000,65,undirected
S_2006,S_2004,61,undirected
