Source,Target,Weight,Type
D_0,E_42,1,undirected
D_0,K_13,3,undirected
D_0,S_125,3,undirected
D_0,S_145,2,undirected
D_1,J_141,3,undirected
D_1,J_34,2,undirected
D_1,S_109,1,undirected
D_2,K_30,2,undirected
D_2,K_43,3,undirected
D_2,S_83,1,undirected
D_3,K_103,1,undirected
D_3,K_84,3,undirected
D_3,S_128,2,undirected
D_4,E_20,1,undirected
D_4,S_10,2,undirected
D_4,S_46,3,undirected
D_5,K_103,2,undirected
D_5,K_137,1,undirected
D_5,S_109,3,undirected
D_6,E_114,2,undirected
D_6,E_72,3,undirected
D_6,K_145,1,undirected
E_0,E_114,2,undirected
E_0,E_149,1,undirected
E_0,E_20,3,undirected
E_1,E_114,3,undirected
E_1,E_42,1,undirected
E_1,E_70,1,undirected
E_1,S_125,2,undirected
E_10,E_114,2,undirected
E_10,E_20,3,undirected
E_10,E_73,1,undirected
E_100,E_107,1,undirected
E_100,E_136,2,undirected
E_100,S_11,3,undirected
E_101,E_147,3,undirected
E_101,J_136,1,undirected
E_101,S_11,2,undirected
E_102,E_114,2,undirected
E_102,E_82,3,undirected
E_102,J_113,1,undirected
E_103,E_143,1,undirected
E_103,E_20,2,undirected
E_103,E_45,3,undirected
E_103,E_8,3,undirected
E_104,E_105,1,undirected
E_104,E_107,2,undirected
E_104,E_114,3,undirected
E_104,E_127,1,undirected
E_105,E_104,1,undirected
E_105,E_114,3,undirected
E_105,E_115,2,undirected
E_105,E_127,3,undirected
E_105,E_137,1,undirected
E_105,E_14,2,undirected
E_105,E_2,2,undirected
E_105,E_39,3,undirected
E_105,E_53,1,undirected
E_105,J_31,1,undirected
E_106,E_42,2,undirected
E_106,E_73,1,undirected
E_106,S_11,3,undirected
E_107,E_100,1,undirected
E_107,E_104,2,undirected
E_107,E_114,5,undirected
E_107,E_117,1,undirected
E_107,E_118,2,undirected
E_107,E_126,2,undirected
E_107,E_13,1,undirected
E_107,E_130,3,undirected
E_107,E_20,3,undirected
E_107,E_32,2,undirected
E_107,E_34,3,undirected
E_107,E_41,3,undirected
E_107,E_51,3,undirected
E_107,E_75,1,undirected
E_107,E_9,2,undirected
E_107,E_91,2,undirected
E_107,E_94,2,undirected
E_107,K_1,1,undirected
E_107,K_110,2,undirected
E_107,K_146,2,undirected
E_107,K_40,4,undirected
E_107,K_61,2,undirected
E_107,K_94,2,undirected
E_108,E_114,2,undirected
E_108,E_17,3,undirected
E_108,S_46,1,undirected
E_109,E_20,3,undirected
E_109,E_45,1,undirected
E_109,E_76,1,undirected
